,Compounds,CT-179_Resist_vs_Sens_logFC,AveExpr,t,P.Value,adj.P.Val,B,CT-179_mRCC,Group_num,Combination_Index
401,folic.acid,-0.01118624,0.003010314,-12.7917383,2.07E-37,5.55E-37,72.3627304,-0.000371974,693,4.16E-06
402,bazedoxifene,-0.001734934,-0.01144154,-2.033907524,0.041965839,0.047499418,-7.253732228,-0.002335167,631,4.05E-06
403,ebselen,-0.008367479,-0.00191931,-9.855047442,6.82E-23,1.36E-22,39.19217511,-0.00048333,690,4.04E-06
404,resatorvid,-0.002074335,0.013735288,-2.061239912,0.039284974,0.044611203,-7.197774873,-0.001924921,643,3.99E-06
405,mifobate,-0.021844005,-0.004026051,-23.20380254,1.61E-118,1.48E-117,258.5258001,-0.00014626,702,3.19E-06
406,naphazoline,-0.002201818,-0.011011775,-2.330692247,0.019773287,0.022810252,-6.606155511,-0.001170531,670,2.58E-06
407,quiflapon,-0.006832622,-0.00523255,-8.334873284,7.94E-17,1.41E-16,25.38855047,-0.000258297,697,1.76E-06
408,brivanib,-0.005070551,0.004668675,-5.082866051,3.73E-07,5.26E-07,3.591958067,-0.000302705,695,1.53E-06
409,cyclizine,-0.005401268,-0.001388394,-6.596312458,4.25E-11,6.64E-11,12.42361654,-5.05E-05,705,2.73E-07
410,betrixaban,-0.005076598,-0.004803565,-6.105049593,1.03E-09,1.56E-09,9.306300703,-5.18E-05,704,2.63E-07
411,CT.7758,-0.0029198,0.005836041,-3.468973752,0.000522861,0.000642306,-3.306064643,-2.46E-05,706,7.20E-08
